emoji/emoticon|key words
💺|chair seat
🚁|helicopter vehicle
🚟|suspension railway
🚠|cable gondola mountain mountain cableway
🚡|aerial tramway
🛰|satellite space
🚀|rocket space
🛸|flying saucer UFO
🛎|bellhop bell
🧳|luggage packing travel
⌛|hourglass done sand timer
⏳|hourglass hourglass not done sand timer
⌚|clock watch
⏰|alarm clock
⏱|clock stopwatch
⏲|timer clock
🕰|clock mantelpiece clock
🕛|twelve o’clock
🕧|12 12:30 clock thirty twelve twelve-thirty
🕐|one o’clock
🕜|1 1:30 clock one one-thirty thirty
🕑|two o’clock
🕝|2 2:30 clock thirty two two-thirty
🕒|three o’clock
🕞|3 3:30 clock thirty three three-thirty
🕓|four o’clock
🕟|4 4:30 clock four four-thirty thirty
🕔|five o’clock
🕠|5 5:30 clock five five-thirty thirty
🕕|six o’clock
🕡|6 6:30 clock six six-thirty thirty
🕖|seven o’clock
🕢|7 7:30 clock seven seven-thirty thirty
🕗|eight o’clock
🕣|8 8:30 clock eight eight-thirty thirty
🕘|nine o’clock
🕤|9 9:30 clock nine nine-thirty thirty
🕙|ten o’clock
🕥|10 10:30 clock ten ten-thirty thirty
🕚|eleven o’clock
🕦|11 11:30 clock eleven eleven-thirty thirty
🌑|dark moon new moon
🌒|waxing crescent moon
🌓|first quarter moon moon quarter
🌔|waxing gibbous moon
🌕|full moon
🌖|waning gibbous moon
🌗|last quarter moon moon quarter
🌘|waning crescent moon
🌙|crescent moon
🌚|face moon new moon face
🌛|face first quarter moon face moon quarter
🌜|face last quarter moon face moon quarter
🌡|thermometer weather
☀|bright rays sun sunny
🌝|full moon face
🌞|bright face sun sun with face
🪐|ringed planet saturn saturnine
⭐|star
🌟|glittery glow glowing star shining sparkle star
🌠|shooting star
🌌|milky way space
☁|cloud weather
⛅|cloud sun sun behind cloud
⛈|cloud cloud with lightning and rain rain thunder
🌤|cloud sun sun behind small cloud
🌥|cloud sun sun behind large cloud
🌦|cloud rain sun sun behind rain cloud
🌧|cloud cloud with rain rain
🌨|cloud cloud with snow cold snow
🌩|cloud cloud with lightning lightning
🌪|cloud tornado whirlwind
🌫|cloud fog
🌬|wind face
🌀|cyclone dizzy hurricane twister typhoon
🌈|rain rainbow
🌂|closed umbrella clothing rain umbrella
☂|clothing rain umbrella
☔|clothing drop rain umbrella umbrella with rain drops
⛱|rain sun umbrella umbrella on ground
⚡|danger electric high voltage lightning voltage zap
❄|cold snow snowflake
☃|cold snow snowman
⛄|cold snow snowman snowman without snow
☄|comet space
🔥|fire flame tool
💧|cold comic drop droplet sweat
🌊|water wave
🎃|celebration halloween jack jack-o-lantern lantern
🎄|Christmas tree
🎆|celebration fireworks
🎇|celebration fireworks sparkle sparkler
🧨|dynamite explosive firecracker fireworks
✨|* sparkle sparkles star
🎈|balloon celebration
🎉|party popper
🎊|confetti ball
🎋|banner celebration Japanese tanabata tree tree
🎍|bamboo celebration Japanese pine pine decoration
🎎|celebration doll festival Japanese Japanese dolls
🎏|carp streamer
🎐|wind chime
🎑|celebration ceremony moon moon viewing ceremony
🧧|gift good luck hóngbāo lai see money red envelope
🎀|celebration ribbon
🎁|wrapped gift
🎗|reminder ribbon
🎟|admission admission tickets ticket
🎫|admission ticket
🎖|military medal
🏆|prize trophy
🏅|medal sports medal
🥇|1st place medal first gold medal
🥈|2nd place medal medal second silver
🥉|3rd place medal bronze medal third
⚽|soccer ball
⚾|ball baseball
🥎|ball glove softball underarm
🏀|ball basketball hoop
🏐|ball game volleyball
🏈|american football
🏉|rugby football
🎾|ball racquet tennis
🥏|flying disc ultimate
🎳|ball bowling game
🏏|ball bat cricket game game
🏑|field hockey
🏒|ice hockey
🥍|ball goal lacrosse stick
🏓|ball bat game paddle ping pong table tennis
🏸|badminton birdie game racquet shuttlecock
🥊|boxing glove
🥋|judo karate martial arts martial arts uniform taekwondo uniform
🥅|goal net
⛳|flag in hole golf hole
⛸|ice skate
🎣|fish fishing pole pole
🤿|diving diving mask scuba snorkeling
🎽|running shirt
🎿|ski skis snow
🛷|sled sledge sleigh luge toboggan
🥌|curling stone game rock
🎯|bullseye dart direct hit game hit target
🪀|fluctuate toy yo-yo
🪁|fly kite soar
🎱|8 ball billiard eight game pool 8 ball
🔮|crystal ball
🪄|magic magic wand witch wizard
🧿|bead charm evil-eye nazar nazar amulet talisman
🎮|controller game video game
🕹|game joystick video game
🎰|game slot slot machine
🎲|game die
🧩|puzzle piece
🧸|plaything plush stuffed teddy bear toy
🪅|celebration party piñata
🪆|doll nesting nesting dolls russia
♠|card game spade suit
♥|card game heart suit
♦|card diamond suit game
♣|card club suit game
♟|chess chess pawn dupe expendable
🃏|card game joker wildcard
🀄|game mahjong mahjong red dragon red
🎴|card flower flower playing cards game Japanese playing
🎭|art mask performing performing arts theater theatre
🖼|art frame framed picture museum painting picture
🎨|art artist palette museum painting palette
🧵|needle sewing spool string thread
🪡|sewing needle
🧶|ball crochet knit yarn
🪢|knot rope tangled tie twine twist
👓|clothing eye eyeglasses eyewear glasses
🕶|dark eye eyewear glasses sunglasses
🥽|eye protection goggles swimming welding
🥼|doctor experiment lab coat scientist
🦺|safety vest
👔|clothing necktie tie
👕|clothing shirt t-shirt tshirt
👖|clothing jeans pants trousers
🧣|neck scarf
🧤|gloves hand
🧥|coat jacket
🧦|socks stocking
👗|clothing dress
👘|clothing kimono
🥻|clothing dress sari
🩱|bathing suit one-piece swimsuit
🩲|bathing suit briefs one-piece swimsuit underwear
🩳|bathing suit pants shorts underwear
👙|bikini clothing swim
👚|clothing woman woman’s clothes
👛|clothing coin purse
👜|bag clothing handbag purse
👝|bag clothing clutch bag pouch
🛍|bag hotel shopping shopping bags
🎒|backpack bag rucksack satchel school
🩴|beach sandals sandals thong sandal thong sandals thongs zōri
👞|clothing man man’s shoe shoe
👟|athletic clothing running shoe shoe sneaker
🥾|hiking boot
🥿|ballet flat flat shoe slip-on slipper
👠|clothing heel high-heeled shoe shoe woman
👡|clothing sandal shoe woman woman’s sandal
🩰|ballet ballet shoes dance
👢|boot clothing shoe woman woman’s boot
👑|clothing crown king queen
👒|clothing hat woman woman’s hat
🎩|top hat
🎓|graduation cap
🧢|baseball cap billed cap
🪖|military helmet
⛑|aid cross face hat helmet rescue worker’s helmet
📿|prayer beads
💄|cosmetics lipstick makeup
💍|diamond ring
💎|diamond gem gem stone jewel
🔇|mute muted speaker quiet silent speaker
🔈|soft speaker low volume
🔉|medium speaker medium volume
🔊|loud speaker high volume
📢|loud loudspeaker public address
📣|cheering megaphone
📯|postal horn
🔔|bell
🔕|bell bell with slash forbidden mute quiet silent
🎼|music musical score score
🎵|music musical note note
🎶|music musical notes note notes
🎙|studio microphone
🎚|level slider
🎛|control knobs
🎤|karaoke mic microphone
🎧|earbud headphone
📻|radio video
🎷|instrument music sax saxophone
🪗|accordian accordion concertina squeeze box
🎸|guitar instrument music
🎹|instrument keyboard music musical keyboard piano
🎺|instrument music trumpet
🎻|instrument music violin
🪕|banjo music stringed
🥁|drum drumsticks music
🪘|beat conga drum long drum rhythm
📱|mobile phone
📲|arrow cell mobile mobile phone with arrow phone receive
☎|phone telephone
📞|telephone receiver
📟|pager
📠|fax fax machine
🔋|battery
🔌|electric plug
💻|computer laptop pc personal
🖥|desktop computer
🖨|computer printer
⌨|computer keyboard
🖱|computer computer mouse
🖲|computer trackball
💽|computer disk
💾|floppy disk
💿|optical disk
📀|blu-ray computer disk dvd optical
🧮|abacus calculation
🎥|movie camera
🎞|film frames
📽|film projector
🎬|clapper clapper board movie
📺|television tv video
📷|camera video
📸|camera camera with flash flash video
📹|video camera
📼|tape vhs video videocassette
🔍|glass magnifying magnifying glass tilted left search tool
🔎|glass magnifying magnifying glass tilted right search tool
🕯|candle light
💡|light bulb
🔦|electric flashlight light tool torch
🏮|bar lantern light red red paper lantern
🪔|diya lamp
📔|book cover decorated notebook notebook with decorative cover
📕|closed book
📖|open book
📗|green book
📘|blue book
📙|orange book
📚|book books
📓|notebook
📒|ledger notebook
📃|curl document page page with curl
📜|paper scroll
📄|document page page facing up
📰|news newspaper paper
🗞|news newspaper paper rolled rolled-up newspaper
📑|bookmark tabs
🔖|bookmark mark
🏷|label
💰|money bag
🪙|coin gold metal money silver treasure
💴|yen banknote
💵|dollar banknote
💶|euro banknote
💷|pound banknote
💸|banknote bill fly money money with wings wings
💳|credit card
🧾|accounting bookkeeping evidence proof receipt
💹|chart chart increasing with yen graph growth money yen
✉|email envelope letter
📧|e-mail email letter mail
📨|incoming envelope
📩|arrow e-mail email envelope envelope with arrow outgoing
📤|outbox tray
📥|inbox tray
📦|box package parcel
📫|closed closed mailbox with raised flag mail mailbox postbox
📪|closed closed mailbox with lowered flag lowered mail mailbox postbox
📬|mail mailbox open open mailbox with raised flag postbox
📭|lowered mail mailbox open open mailbox with lowered flag postbox
📮|mail mailbox postbox
🗳|ballot ballot box with ballot box
✏|pencil
✒|black nib nib pen
🖋|fountain pen
🖊|ballpoint pen
🖌|paintbrush painting
🖍|crayon
📝|memo pencil
💼|briefcase
📁|file folder
📂|open file folder
🗂|card index dividers
📅|calendar date
📆|calendar tear-off calendar
🗒|note pad spiral spiral notepad
🗓|spiral calendar
📇|card index
📈|chart chart increasing graph growth trend upward
📉|chart chart decreasing down graph trend
📊|bar chart
📋|clipboard
📌|pin pushpin
📍|pin pushpin round pushpin
📎|paperclip
🖇|link linked paperclips paperclip
📏|ruler straight edge straight ruler
📐|ruler set triangle triangular ruler
✂|cutting scissors tool
🗃|card file box
🗄|file cabinet
🗑|wastebasket
🔒|closed locked
🔓|lock open unlock unlocked
🔏|ink lock locked with pen nib pen privacy
🔐|closed key lock locked with key secure
🔑|key lock password
🗝|old key
🔨|hammer tool
🪓|axe chop hatchet split wood
⛏|mining pick tool
⚒|hammer hammer and pick pick tool
🛠|hammer hammer and wrench spanner tool wrench
🗡|dagger knife weapon
⚔|crossed swords
🔫|water pistol
🪃|australia boomerang rebound repercussion
🏹|archer arrow bow bow and arrow Sagittarius zodiac
🛡|shield weapon
🪚|carpenter carpentry saw lumber saw tool
🔧|spanner tool wrench
🪛|screw screwdriver tool
🔩|bolt nut nut and bolt tool
⚙|cog cogwheel gear tool
🗜|clamp compress tool vice
⚖|balance scale
🦯|accessibility blind white cane
🔗|link
⛓|chain chains
🪝|catch crook curve ensnare hook selling point
🧰|chest mechanic tool toolbox
🧲|attraction horseshoe magnet magnetic
🪜|climb ladder rung step
⚗|alembic chemistry tool
🧪|chemist chemistry experiment lab science test tube
🧫|bacteria biologist biology culture lab petri dish
🧬|biologist dna evolution gene genetics life
🔬|microscope science tool
🔭|science telescope tool
📡|satellite antenna
💉|medicine needle shot sick syringe
🩸|bleed blood donation drop of blood injury medicine menstruation
💊|doctor medicine pill sick
🩹|adhesive bandage bandage
🩺|doctor heart medicine stethoscope
🚪|door
🛗|accessibility elevator hoist lift
🪞|mirror reflection reflector speculum
🪟|frame fresh air opening transparent view window
🛏|bed hotel sleep
🛋|couch couch and lamp hotel lamp
🪑|chair seat sit
🚽|toilet
🪠|force cup plumber plunger suction toilet
🚿|shower water
🛁|bath bathtub
🪤|bait mouse trap mousetrap snare trap
🪒|razor sharp shave
🧴|lotion lotion bottle moisturizer shampoo sunscreen
🧷|diaper punk rock safety pin
🧹|broom cleaning sweeping witch
🧺|basket farming laundry picnic
🧻|paper towels roll of paper toilet paper
🪣|bucket cask pail vat
🧼|bar bathing cleaning lather soap soapdish
🪥|bathroom brush clean dental hygiene teeth toothbrush
🧽|absorbing cleaning porous sponge
🧯|extinguish fire fire extinguisher quench
🛒|shopping cart
🚬|cigarette smoking
⚰|coffin death
🪦|cemetery grave graveyard headstone tombstone
⚱|funeral urn
🗿|face moai moyai statue
🪧|demonstration picket placard protest sign
🏧|atm ATM sign automated bank teller
🚮|litter litter bin litter in bin sign
🚰|potable water
♿|access wheelchair symbol
🚹|lavatory man men’s room restroom wc
🚺|lavatory restroom wc woman women’s room
🚻|lavatory restroom WC
🚼|baby baby symbol changing
🚾|water closet
🛂|passport control
🛃|customs
🛄|baggage claim
🛅|baggage left luggage locker luggage
⚠|warning
🚸|child children crossing crossing pedestrian traffic
⛔|no entry
🚫|entry forbidden no not prohibited
🚳|bicycle bike forbidden no no bicycles prohibited
🚭|no smoking
🚯|forbidden litter no no littering not prohibited
🚱|non-potable water
🚷|forbidden no no pedestrians not pedestrian prohibited
📵|cell forbidden mobile no no mobile phones phone
🔞|18 age restriction eighteen no one under eighteen prohibited underage
☢|radioactive sign
☣|biohazard sign
⬆|arrow cardinal direction north up arrow
↗|arrow direction intercardinal northeast up-right arrow
➡|arrow cardinal direction east right arrow
↘|arrow direction down-right arrow intercardinal southeast
⬇|down arrow
↙|arrow direction down-left arrow intercardinal southwest
⬅|arrow cardinal direction left arrow west
↖|arrow direction intercardinal northwest up-left arrow
↕|arrow up-down arrow
↔|arrow left-right arrow
↩|arrow right arrow curving left
↪|arrow left arrow curving right
⤴|arrow right arrow curving up
⤵|arrow down right arrow curving down
🔃|arrow clockwise clockwise vertical arrows reload
🔄|anticlockwise arrow counterclockwise counterclockwise arrows button withershins
🔙|arrow back BACK arrow
🔚|arrow end END arrow
🔛|arrow mark on ON! arrow
🔜|arrow soon SOON arrow
🔝|arrow top TOP arrow up
🛐|place of worship religion worship
⚛|atheist atom atom symbol
🕉|Hindu om religion
✡|David Jew Jewish religion star star of David
☸|Buddhist dharma religion wheel wheel of dharma
☯|yin yang
✝|Christian cross latin cross religion
☦|Christian cross orthodox cross religion
☪|islam Muslim religion star and crescent
☮|peace peace symbol
🕎|candelabrum candlestick menorah religion
🔯|dotted six-pointed star fortune star
♈|Aries ram zodiac
♉|bull ox Taurus zodiac
♊|Gemini twins zodiac
♋|Cancer crab zodiac
♌|Leo lion zodiac
♍|Virgo zodiac
♎|balance justice Libra scales zodiac
♏|Scorpio scorpion scorpius zodiac
♐|archer Sagittarius zodiac
♑|Capricorn goat zodiac
♒|Aquarius bearer water zodiac
♓|fish Pisces zodiac
⛎|bearer Ophiuchus serpent snake zodiac
🔀|arrow crossed shuffle tracks button
🔁|arrow clockwise repeat repeat button
🔂|arrow clockwise once repeat single button
▶|arrow play play button right triangle
⏩|arrow double fast fast-forward button forward
⏭|arrow next scene next track next track button triangle
⏯|arrow pause play play or pause button right triangle
◀|arrow left reverse reverse button triangle
⏪|arrow double fast reverse button rewind
⏮|arrow last track button previous scene previous track triangle
🔼|arrow button red upwards button
⏫|arrow double fast up button
🔽|arrow button down downwards button red
⏬|arrow double down fast down button
⏸|bar double pause pause button vertical
⏹|square stop stop button
⏺|circle record record button
⏏|eject eject button
🎦|camera cinema film movie
🔅|brightness dim dim button low
🔆|bright bright button brightness
📶|antenna antenna bars bar cell mobile phone
📳|vibration mode
📴|mobile phone off
♀|female sign woman
♂|male sign man
⚧|transgender transgender symbol
✖|× cancel multiplication multiply sign x
➕|+ math plus sign
➖|- − math minus sign
➗|÷ divide division math sign
♾|forever infinity unbounded universal
‼|! !! bangbang double exclamation mark exclamation mark
⁉|exclamation question mark
❓|? mark punctuation question red question mark
❔|? mark outlined punctuation question white question mark
❕|! exclamation mark outlined punctuation white exclamation mark
❗|! exclamation mark punctuation red exclamation mark
〰|wavy dash
💱|currency exchange
💲|currency dollar heavy dollar sign money
⚕|aesculapius medical symbol medicine staff
♻|recycle recycling symbol
⚜|fleur-de-lis
🔱|trident emblem
📛|name badge
🔰|beginner chevron Japanese Japanese symbol for beginner leaf
⭕|circle hollow red circle large o red
✅|check mark button
☑|✓ box check check box with check
✔|check mark
❌|cross mark
❎|× cross mark button mark square x
➰|curl curly loop loop
➿|curl double double curly loop loop
〽|mark part part alternation mark
✳|* asterisk eight-spoked asterisk
✴|* eight-pointed star star
❇|* sparkle
©|c copyright
®|r registered
™|mark tm trade mark trademark
#️⃣|keycap: #
*️⃣|keycap: *
0️⃣|keycap: 0
1️⃣|keycap: 1
2️⃣|keycap: 2
3️⃣|keycap: 3
4️⃣|keycap: 4
5️⃣|keycap: 5
6️⃣|keycap: 6
7️⃣|keycap: 7
8️⃣|keycap: 8
9️⃣|keycap: 9
🔟|keycap: 10
🔠|input latin uppercase
🔡|input latin lowercase
🔢|input numbers
🔣|〒♪&% input input symbols
🔤|input latin letters
🅰|a A button (blood type) blood type
🆎|ab AB button (blood type) blood type
🅱|b B button (blood type) blood type
🆑|cl CL button
🆒|cool COOL button
🆓|free FREE button
ℹ|i information
🆔|id ID button identity
Ⓜ|circle circled M m
🆕|new NEW button
🆖|ng NG button
🅾|blood type o O button (blood type)
🆗|OK OK button
🅿|P button parking
🆘|help sos SOS button
🆙|mark up UP! button
🆚|versus vs VS button
🈁|“here” Japanese Japanese “here” button katakana ココ
🈂|“service charge” Japanese Japanese “service charge” button katakana サ
🈷|“monthly amount” ideograph Japanese Japanese “monthly amount” button 月
🈶|“not free of charge” ideograph Japanese Japanese “not free of charge” button 有
🈯|“reserved” ideograph Japanese Japanese “reserved” button 指
🉐|“bargain” ideograph Japanese Japanese “bargain” button 得
🈹|“discount” ideograph Japanese Japanese “discount” button 割
🈚|“free of charge” ideograph Japanese Japanese “free of charge” button 無
🈲|“prohibited” ideograph Japanese Japanese “prohibited” button 禁
🉑|“acceptable” ideograph Japanese Japanese “acceptable” button 可
🈸|“application” ideograph Japanese Japanese “application” button 申
🈴|“passing grade” ideograph Japanese Japanese “passing grade” button 合
🈳|“vacancy” ideograph Japanese Japanese “vacancy” button 空
㊗|“congratulations” ideograph Japanese Japanese “congratulations” button 祝
㊙|“secret” ideograph Japanese Japanese “secret” button 秘
🈺|“open for business” ideograph Japanese Japanese “open for business” button 営
🈵|“no vacancy” ideograph Japanese Japanese “no vacancy” button 満
🔴|red circle
🟠|orange circle
🟡|yellow circle
🟢|green circle
🔵|blue circle
🟣|purple circle
🟤|brown circle
⚫|black circle circle geometric
⚪|circle geometric white circle
🟥|red square
🟧|orange square
🟨|yellow square
🟩|green square
🟦|blue square
🟪|purple square
🟫|brown square
⬛|black large square geometric square
⬜|geometric square white large square
◼|black medium square geometric square
◻|geometric square white medium square
◾|black medium-small square geometric square
◽|geometric square white medium-small square
▪|black small square geometric square
▫|geometric square white small square
🔶|diamond geometric large orange diamond orange
🔷|blue diamond geometric large blue diamond
🔸|diamond geometric orange small orange diamond
🔹|blue diamond geometric small blue diamond
🔺|geometric red red triangle pointed up
🔻|down geometric red red triangle pointed down
💠|comic diamond diamond with a dot geometric inside
🔘|radio button
🔳|button geometric outlined square white square button
🔲|black square button button geometric square
🏁|checkered chequered chequered flag racing
🚩|post triangular flag
🎌|celebration cross crossed crossed flags Japanese
🏴|black flag waving
🏳|waving white flag
🏳️‍🌈|pride rainbow rainbow flag
🏳️‍⚧️|transgender flag
🏴‍☠️|Jolly Roger pirate pirate flag plunder treasure
🇦🇨|flag: Ascension Island
🇦🇩|flag: Andorra
🇦🇪|flag: United Arab Emirates
🇦🇫|flag: Afghanistan
🇦🇬|flag: Antigua & Barbuda
🇦🇮|flag: Anguilla
🇦🇱|flag: Albania
🇦🇲|flag: Armenia
🇦🇴|flag: Angola
🇦🇶|flag: Antarctica
🇦🇷|flag: Argentina
🇦🇸|flag: American Samoa
🇦🇹|flag: Austria
🇦🇺|flag: Australia
🇦🇼|flag: Aruba
🇦🇽|flag: Åland Islands
🇦🇿|flag: Azerbaijan
🇧🇦|flag: Bosnia & Herzegovina
🇧🇧|flag: Barbados
🇧🇩|flag: Bangladesh
🇧🇪|flag: Belgium
🇧🇫|flag: Burkina Faso
🇧🇬|flag: Bulgaria
🇧🇭|flag: Bahrain
🇧🇮|flag: Burundi
🇧🇯|flag: Benin
🇧🇱|flag: St. Barthélemy
🇧🇲|flag: Bermuda
🇧🇳|flag: Brunei
🇧🇴|flag: Bolivia
🇧🇶|flag: Caribbean Netherlands
🇧🇷|flag: Brazil
🇧🇸|flag: Bahamas
🇧🇹|flag: Bhutan
🇧🇻|flag: Bouvet Island
🇧🇼|flag: Botswana
🇧🇾|flag: Belarus
🇧🇿|flag: Belize
🇨🇦|flag: Canada
🇨🇨|flag: Cocos (Keeling) Islands
🇨🇩|flag: Congo - Kinshasa
🇨🇫|flag: Central African Republic
🇨🇬|flag: Congo - Brazzaville
🇨🇭|flag: Switzerland
🇨🇮|flag: Côte d’Ivoire
🇨🇰|flag: Cook Islands
🇨🇱|flag: Chile
🇨🇲|flag: Cameroon
🇨🇳|flag: China
🇨🇴|flag: Colombia
🇨🇵|flag: Clipperton Island
🇨🇷|flag: Costa Rica
🇨🇺|flag: Cuba
🇨🇻|flag: Cape Verde
🇨🇼|flag: Curaçao
🇨🇽|flag: Christmas Island
🇨🇾|flag: Cyprus
🇨🇿|flag: Czechia
🇩🇪|flag: Germany
🇩🇬|flag: Diego Garcia
🇩🇯|flag: Djibouti
🇩🇰|flag: Denmark
🇩🇲|flag: Dominica
🇩🇴|flag: Dominican Republic
🇩🇿|flag: Algeria
🇪🇦|flag: Ceuta & Melilla
🇪🇨|flag: Ecuador
🇪🇪|flag: Estonia
🇪🇬|flag: Egypt
🇪🇭|flag: Western Sahara
🇪🇷|flag: Eritrea
🇪🇸|flag: Spain
🇪🇹|flag: Ethiopia
🇪🇺|flag: European Union
🇫🇮|flag: Finland
🇫🇯|flag: Fiji
🇫🇰|flag: Falkland Islands
🇫🇲|flag: Micronesia
🇫🇴|flag: Faroe Islands
🇫🇷|flag: France
🇬🇦|flag: Gabon
🇬🇧|flag: United Kingdom
🇬🇩|flag: Grenada
🇬🇪|flag: Georgia
🇬🇫|flag: French Guiana
🇬🇬|flag: Guernsey
🇬🇭|flag: Ghana
🇬🇮|flag: Gibraltar
🇬🇱|flag: Greenland
🇬🇲|flag: Gambia
🇬🇳|flag: Guinea
🇬🇵|flag: Guadeloupe
🇬🇶|flag: Equatorial Guinea
🇬🇷|flag: Greece
🇬🇸|flag: South Georgia & South Sandwich Islands
🇬🇹|flag: Guatemala
🇬🇺|flag: Guam
🇬🇼|flag: Guinea-Bissau
🇬🇾|flag: Guyana
🇭🇰|flag: Hong Kong SAR China
🇭🇲|flag: Heard & McDonald Islands
🇭🇳|flag: Honduras
🇭🇷|flag: Croatia
🇭🇹|flag: Haiti
🇭🇺|flag: Hungary
🇮🇨|flag: Canary Islands
🇮🇩|flag: Indonesia
🇮🇪|flag: Ireland
🇮🇱|flag: Israel
🇮🇲|flag: Isle of Man
🇮🇳|flag: India
🇮🇴|flag: British Indian Ocean Territory
🇮🇶|flag: Iraq
🇮🇷|flag: Iran
🇮🇸|flag: Iceland
🇮🇹|flag: Italy
🇯🇪|flag: Jersey
🇯🇲|flag: Jamaica
🇯🇴|flag: Jordan
🇯🇵|flag: Japan
🇰🇪|flag: Kenya
🇰🇬|flag: Kyrgyzstan
🇰🇭|flag: Cambodia
🇰🇮|flag: Kiribati
🇰🇲|flag: Comoros
🇰🇳|flag: St. Kitts & Nevis
🇰🇵|flag: North Korea
🇰🇷|flag: South Korea
🇰🇼|flag: Kuwait
🇰🇾|flag: Cayman Islands
🇰🇿|flag: Kazakhstan
🇱🇦|flag: Laos
🇱🇧|flag: Lebanon
🇱🇨|flag: St. Lucia
🇱🇮|flag: Liechtenstein
🇱🇰|flag: Sri Lanka
🇱🇷|flag: Liberia
🇱🇸|flag: Lesotho
🇱🇹|flag: Lithuania
🇱🇺|flag: Luxembourg
🇱🇻|flag: Latvia
🇱🇾|flag: Libya
🇲🇦|flag: Morocco
🇲🇨|flag: Monaco
🇲🇩|flag: Moldova
🇲🇪|flag: Montenegro
🇲🇫|flag: St. Martin
🇲🇬|flag: Madagascar
🇲🇭|flag: Marshall Islands
🇲🇰|flag: North Macedonia
🇲🇱|flag: Mali
🇲🇲|flag: Myanmar (Burma)
🇲🇳|flag: Mongolia
🇲🇴|flag: Macao SAR China
🇲🇵|flag: Northern Mariana Islands
🇲🇶|flag: Martinique
🇲🇷|flag: Mauritania
🇲🇸|flag: Montserrat
🇲🇹|flag: Malta
🇲🇺|flag: Mauritius
🇲🇻|flag: Maldives
🇲🇼|flag: Malawi
🇲🇽|flag: Mexico
🇲🇾|flag: Malaysia
🇲🇿|flag: Mozambique
🇳🇦|flag: Namibia
🇳🇨|flag: New Caledonia
🇳🇪|flag: Niger
🇳🇫|flag: Norfolk Island
🇳🇬|flag: Nigeria
🇳🇮|flag: Nicaragua
🇳🇱|flag: Netherlands
🇳🇴|flag: Norway
🇳🇵|flag: Nepal
🇳🇷|flag: Nauru
🇳🇺|flag: Niue
🇳🇿|flag: New Zealand
🇴🇲|flag: Oman
🇵🇦|flag: Panama
🇵🇪|flag: Peru
🇵🇫|flag: French Polynesia
🇵🇬|flag: Papua New Guinea
🇵🇭|flag: Philippines
🇵🇰|flag: Pakistan
🇵🇱|flag: Poland
🇵🇲|flag: St. Pierre & Miquelon
🇵🇳|flag: Pitcairn Islands
🇵🇷|flag: Puerto Rico
🇵🇸|flag: Palestinian Territories
🇵🇹|flag: Portugal
🇵🇼|flag: Palau
🇵🇾|flag: Paraguay
🇶🇦|flag: Qatar
🇷🇪|flag: Réunion
🇷🇴|flag: Romania
🇷🇸|flag: Serbia
🇷🇺|flag: Russia
🇷🇼|flag: Rwanda
🇸🇦|flag: Saudi Arabia
🇸🇧|flag: Solomon Islands
🇸🇨|flag: Seychelles
🇸🇩|flag: Sudan
🇸🇪|flag: Sweden
🇸🇬|flag: Singapore
🇸🇭|flag: St. Helena
🇸🇮|flag: Slovenia
🇸🇯|flag: Svalbard & Jan Mayen
🇸🇰|flag: Slovakia
🇸🇱|flag: Sierra Leone
🇸🇲|flag: San Marino
🇸🇳|flag: Senegal
🇸🇴|flag: Somalia
🇸🇷|flag: Suriname
🇸🇸|flag: South Sudan
🇸🇹|flag: São Tomé & Príncipe
🇸🇻|flag: El Salvador
🇸🇽|flag: Sint Maarten
🇸🇾|flag: Syria
🇸🇿|flag: Eswatini
🇹🇦|flag: Tristan da Cunha
🇹🇨|flag: Turks & Caicos Islands
🇹🇩|flag: Chad
🇹🇫|flag: French Southern Territories
🇹🇬|flag: Togo
🇹🇭|flag: Thailand
🇹🇯|flag: Tajikistan
🇹🇰|flag: Tokelau
🇹🇱|flag: Timor-Leste
🇹🇲|flag: Turkmenistan
🇹🇳|flag: Tunisia
🇹🇴|flag: Tonga
🇹🇷|flag: Turkey
🇹🇹|flag: Trinidad & Tobago
🇹🇻|flag: Tuvalu
🇹🇼|flag: Taiwan
🇹🇿|flag: Tanzania
🇺🇦|flag: Ukraine
🇺🇬|flag: Uganda
🇺🇲|flag: U.S. Outlying Islands
🇺🇳|flag: United Nations
🇺🇸|flag: United States
🇺🇾|flag: Uruguay
🇺🇿|flag: Uzbekistan
🇻🇦|flag: Vatican City
🇻🇨|flag: St. Vincent & Grenadines
🇻🇪|flag: Venezuela
🇻🇬|flag: British Virgin Islands
🇻🇮|flag: U.S. Virgin Islands
🇻🇳|flag: Vietnam
🇻🇺|flag: Vanuatu
🇼🇫|flag: Wallis & Futuna
🇼🇸|flag: Samoa
🇽🇰|flag: Kosovo
🇾🇪|flag: Yemen
🇾🇹|flag: Mayotte
🇿🇦|flag: South Africa
🇿🇲|flag: Zambia
🇿🇼|flag: Zimbabwe
🏴󠁧󠁢󠁥󠁮󠁧󠁿|flag: England
🏴󠁧󠁢󠁳󠁣󠁴󠁿|flag: Scotland
🏴󠁧󠁢󠁷󠁬󠁳󠁿|flag: Wales
:‑)|Smiley or happy face.
:)|Smiley or happy face.
:-]|Smiley or happy face.
:]|Smiley or happy face.
:-3|Smiley or happy face.
:3|Smiley or happy face.
:-&gt;|Smiley or happy face.
:&gt;|Smiley or happy face.
8-)|Smiley or happy face.
8)|Smiley or happy face.
:-}|Smiley or happy face.
:}|Smiley or happy face.
:o)|Smiley or happy face.
:c)|Smiley or happy face.
