emoji/emoticon|key words
🚜| tractor vehicle 
🏎| racing car 
🏍| motorcycle racing 
🛵| motor scooter 
🦽| accessibility manual wheelchair 
🦼| accessibility motorized wheelchair 
🛺| auto rickshaw uk uk 
🚲| bicycle bike 
🛴| kick scooter 
🛹| board skateboard 
🛼| roller skate 
🚏| bus stop 
🛣| highway motorway road 
🛤| railway railway track train 
🛢| oil drum 
⛽| fuel pump 
🚨| police car light 
🚥| horizontal traffic light light signal traffic 
🚦| light signal traffic vertical traffic light 
🛑| stop sign 
🚧| barrier construction 
⚓| anchor ship tool 
⛵| boat resort sailboat sea yacht 
🛶| boat canoe 
🚤| boat speedboat 
🛳| passenger ship 
⛴| boat ferry passenger 
🛥| boat motor boat motorboat 
🚢| boat passenger ship 
✈| aeroplane airplane 
🛩| aeroplane airplane small airplane 
🛫| airplane departure 
🛬| aeroplane airplane airplane arrival arrivals arriving landing 
🪂| hang glide parachute parasol skydiver 
💺| chair seat 
🚁| helicopter vehicle 
🚟| suspension railway 
🚠| cable gondola mountain mountain causeway 
🚡| aerial tramway 
🛰| satellite space 
🚀| rocket space 
🛸| flying saucer ufo 
🛎| bellow bell 
🧳| luggage packing travel 
⌛| hourglass done sand timer 
⏳| hourglass hourglass not done sand timer 
⌚| clock watch 
⏰| alarm clock 
⏱| clock stopwatch 
⏲| timer clock 
🕰| clock mantelpiece clock 
🕛| twelve clock 
🕧| clock thirty twelve twelve thirty 
🕐| one clock 
🕜| clock one one thirty thirty 
🕑| two clock 
🕝| clock thirty two two thirty 
🕒| three clock 
🕞| clock thirty three three thirty 
🕓| four clock 
🕟| clock four four thirty thirty 
🕔| five clock 
🕠| clock five five thirty thirty 
🕕| six clock 
🕡| clock six six thirty thirty 
🕖| seven clock 
🕢| clock seven seven thirty thirty 
🕗| eight clock 
🕣| clock eight eight thirty thirty 
🕘| nine clock 
🕤| clock nine nine thirty thirty 
🕙| ten clock 
🕥| clock ten ten thirty thirty 
🕚| eleven clock 
🕦| clock eleven eleven thirty thirty 
🌑| dark moon new moon 
🌒| waxing crescent moon 
🌓| first quarter moon moon quarter 
🌔| waxing gibbons moon 
🌕| full moon 
🌖| waning gibbons moon 
🌗| last quarter moon moon quarter 
🌘| waning crescent moon 
🌙| crescent moon 
🌚| face moon new moon face 
🌛| face first quarter moon face moon quarter 
🌜| face last quarter moon face moon quarter 
🌡| thermometer weather 
☀| bright rays sun sunny 
🌝| full moon face 
🌞| bright face sun sun face 
🪐| ringed planet saturn saturnine 
⭐| star 
🌟| glittery glow glowing star shining sparkle star 
🌠| shooting star 
🌌| milky way space 
☁| cloud weather 
⛅| cloud sun sun behind cloud 
⛈| cloud cloud lightning rain rain thunder 
🌤| cloud sun sun behind small cloud 
🌥| cloud sun sun behind large cloud 
🌦| cloud rain sun sun behind rain cloud 
🌧| cloud cloud rain rain 
🌨| cloud cloud snow cold snow 
🌩| cloud cloud lightning lightning 
🌪| cloud tornado whirlwind 
🌫| cloud fog 
🌬| wind face 
🌀| cyclone dizzy hurricane twister typhoon 
🌈| rain rainbow 
🌂| closed umbrella clothing rain umbrella 
☂| clothing rain umbrella 
☔| clothing drop rain umbrella umbrella rain drops 
⛱| rain sun umbrella umbrella ground 
⚡| danger electric high voltage lightning voltage zap 
❄| cold snow snowflake 
☃| cold snow snowman 
⛄| cold snow snowman snowman without snow 
☄| comet space 
🔥| fire flame tool 
💧| cold comic drop droplet sweat 
🌊| water wave 
🎃| celebration halloween jack jack lantern lantern 
🎄| christmas tree 
🎆| celebration fireworks 
🎇| celebration fireworks sparkle sparkler 
🧨| dynamite explosive firecrackers fireworks 
✨| sparkle sparkles star 
🎈| balloon celebration 
🎉| party popper 
🎊| confetti ball 
🎋| banner celebration japanese tanabata tree tree 
🎍| bamboo celebration japanese pine pine decoration 
🎎| celebration doll festival japanese japanese dolls 
🎏| carp streamer 
🎐| wind chime 
🎑| celebration ceremony moon moon viewing ceremony 
🧧| gift good luck h kgb lai see money red envelope 
🎀| celebration ribbon 
🎁| wrapped gift 
🎗| reminder ribbon 
🎟| admission admission tickets ticket 
🎫| admission ticket 
🎖| military medal 
🏆| prize trophy 
🏅| medal sports medal 
🥇| st place medal first gold medal 
🥈| nd place medal medal second silver 
🥉| rd place medal bronze medal third 
⚽| soccer ball 
⚾| ball baseball 
🥎| ball glove softball underarm 
🏀| ball basketball hoop 
🏐| ball game volleyball 
🏈| american football 
🏉| rugby football 
🎾| ball racquet tennis 
🥏| flying disc ultimate 
🎳| ball bowling game 
🏏| ball bat cricket game game 
🏑| field hockey 
🏒| ice hockey 
🥍| ball goal lacrosse stick 
🏓| ball bat game paddle ping pong table tennis 
🏸| badminton birdie game racquet shuttlecock 
🥊| boxing glove 
🥋| judo karate martial arts martial arts uniform taekwondo uniform 
🥅| goal net 
⛳| flag hole golf hole 
⛸| ice skate 
🎣| fish fishing pole pole 
🤿| diving diving mask scuba snorkelling 
🎽| running shirt 
🎿| ski skis snow 
🛷| sled sledge sleigh huge toboggan 
🥌| curling stone game rock 
🎯| bullseye dart direct hit game hit target 
🪀| fluctuate toy yo yo 
🪁| fly kite soar 
🎱| ball billiard eight game pool ball 
🔮| crystal ball 
🪄| magic magic wand witch wizard 
🧿| bead charm evil eye lazar lazar amulet talisman 
🎮| controller game video game 
🕹| game joystick video game 
🎰| game slot slot machine 
🎲| game die 
🧩| puzzle piece 
🧸| plaything plush stuffed teddy bear toy 
🪅| celebration party pi ata 
🪆| doll nesting nesting dolls russia 
♠| card game spade suit 
♥| card game heart suit 
♦| card diamond suit game 
♣| card club suit game 
♟| chess chess pawn dupe expendable 
🃏| card game joker wildcard 
🀄| game mahon mahon red dragon red 
🎴| card flower flower playing cards game japanese playing 
🎭| art mask performing performing arts theater theatre 
🖼| art frame framed picture museum painting picture 
🎨| art artist palette museum painting palette 
🧵| needle sewing spool string thread 
🪡| sewing needle 
🧶| ball crochet knit yarn 
🪢| knot rope tangled tie twine twist 
👓| clothing eye eyelashes eyewear glasses 
🕶| dark eye eyewear glasses sunglasses 
🥽| eye protection goggles swimming welding 
🥼| doctor experiment lab coat scientist 
🦺| safety vest 
👔| clothing necktie tie 
👕| clothing shirt shirt shirt 
👖| clothing jeans pants trousers 
🧣| neck scarf 
🧤| gloves hand 
🧥| coat jacket 
🧦| socks stocking 
👗| clothing dress 
👘| clothing kimono 
🥻| clothing dress sari 
🩱| bathing suit one piece swimsuit 
🩲| bathing suit briefs one piece swimsuit underwear 
🩳| bathing suit pants shorts underwear 
👙| bikini clothing swim 
👚| clothing woman woman clothes 
👛| clothing coin purse 
👜| bag clothing handbag purse 
👝| bag clothing clutch bag pouch 
🛍| bag hotel shopping shopping bags 
🎒| backpack bag rucksack satchel school 
🩴| beach sandals sandals thong sandal thong sandals thongs z ri 
👞| clothing man man shoe shoe 
👟| athletic clothing running shoe shoe speaker 
🥾| hiking boot 
🥿| ballet flat flat shoe slip slipper 
👠| clothing heel high heeled shoe shoe woman 
👡| clothing sandal shoe woman woman sandal 
🩰| ballet ballet shoes dance 
👢| boot clothing shoe woman woman boot 
👑| clothing crown king queen 
👒| clothing hat woman woman hat 
🎩| top hat 
🎓| graduation cap 
🧢| baseball cap billed cap 
🪖| military helmet 
⛑| aid cross face hat helmet rescue worker helmet 
📿| prayer beads 
💄| cosmetics lipstick makeup 
💍| diamond ring 
💎| diamond gem gem stone jewel 
🔇| mute muted speaker quiet silent speaker 
🔈| soft speaker low volume 
🔉| medium speaker medium volume 
🔊| loud speaker high volume 
📢| loud loudspeaker public address 
📣| cheering megaphone 
📯| postal horn 
🔔| bell 
🔕| bell bell slash forbidden mute quiet silent 
🎼| music musical score score 
🎵| music musical note note 
🎶| music musical notes note notes 
🎙| studio microphone 
🎚| level slider 
🎛| control knobs 
🎤| karaoke mic microphone 
🎧| earned headphone 
📻| radio video 
🎷| instrument music sax saxophone 
🪗| accordion accordion concertina squeeze box 
🎸| guitar instrument music 
🎹| instrument keyboard music musical keyboard piano 
🎺| instrument music trumpet 
🎻| instrument music violin 
🪕| banjo music stringed 
🥁| drum drumsticks music 
🪘| beat conga drum long drum rhythm 
📱| mobile phone 
📲| arrow cell mobile mobile phone arrow phone receive 
☎| phone telephone 
📞| telephone receiver 
📟| pager 
📠| fax fax machine 
🔋| battery 
🔌| electric plug 
💻| computer laptop pc personal 
🖥| desktop computer 
🖨| computer printer 
⌨| computer keyboard 
🖱| computer computer mouse 
🖲| computer trackball 
💽| computer disk 
💾| floppy disk 
💿| optical disk 
📀| blue ray computer disk optical 
🧮| abacus calculation 
🎥| movie camera 
🎞| film frames 
📽| film projector 
🎬| clapper clapper board movie 
📺| television tv video 
📷| camera video 
📸| camera camera flash flash video 
📹| video camera 
📼| tape vhs video videocassette 
🔍| glass magnifying magnifying glass tilted left search tool 
🔎| glass magnifying magnifying glass tilted right search tool 
🕯| candle light 
💡| light bulb 
🔦| electric flashlight light tool torch 
🏮| bar lantern light red red paper lantern 
🪔| diy lamp 
📔| book cover decorated notebook notebook decorative cover 
📕| closed book 
📖| open book 
📗| green book 
📘| blue book 
📙| orange book 
📚| book books 
📓| notebook 
📒| ledger notebook 
📃| curl document page page curl 
📜| paper scroll 
📄| document page page facing 
📰| news newspaper paper 
🗞| news newspaper paper rolled rolled newspaper 
📑| bookmark tabs 
🔖| bookmark mark 
🏷| label 
💰| money bag 
🪙| coin gold metal money silver treasure 
💴| yen banknote 
💵| dollar banknote 
💶| euro banknote 
💷| pound banknote 
💸| banknote bill fly money money wings wings 
💳| credit card 
🧾| accounting bookkeeping evidence proof receipt 
💹| chart chart increasing yen graph growth money yen 
✉| email envelope letter 
📧| e mail email letter mail 
📨| incoming envelope 
📩| arrow e mail email envelope envelope arrow outgoing 
📤| tray 
📥| tray 
📦| box package parcel 
📫| closed closed mailbox raised flag mail mailbox postbox 
📪| closed closed mailbox lowered flag lowered mail mailbox postbox 
📬| mail mailbox open open mailbox raised flag postbox 
📭| lowered mail mailbox open open mailbox lowered flag postbox 
📮| mail mailbox postbox 
🗳| ballot ballot box ballot box 
✏| pencil 
✒| black nib nib pen 
🖋| fountain pen 
🖊| ballpoint pen 
🖌| paintbrush painting 
🖍| crayon 
📝| memo pencil 
💼| briefcase 
📁| file folder 
📂| open file folder 
🗂| card index dividers 
📅| calendar date 
📆| calendar tear calendar 
🗒| note pad spiral spiral notepad 
🗓| spiral calendar 
📇| card index 
📈| chart chart increasing graph growth trend upward 
📉| chart chart decreasing graph trend 
📊| bar chart 
📋| clipboard 
📌| pin pushkin 
📍| pin pushkin round pushkin 
📎| paperclip 
🖇| link linked paperclips paperclip 
📏| ruler straight edge straight ruler 
📐| ruler set triangle triangular ruler 
✂| cutting scissors tool 
🗃| card file box 
🗄| file cabinet 
🗑| wastebasket 
🔒| closed locked 
🔓| lock open unlock unlocked 
🔏| ink lock locked pen nib pen privacy 
🔐| closed key lock locked key secure 
🔑| key lock password 
🗝| old key 
🔨| hammer tool 
🪓| axe chop hatchet split wood 
⛏| mining pick tool 
⚒| hammer hammer pick pick tool 
🛠| hammer hammer wrench spanner tool wrench 
🗡| dagger knife weapon 
⚔| crossed swords 
🔫| water pistol 
🪃| australia boomerang rebound repercussion 
🏹| archer arrow bow bow arrow sagittarius zodiac 
🛡| shield weapon 
🪚| carpenter carpentry saw lumber saw tool 
🔧| spanner tool wrench 
🪛| screw screwdriver tool 
🔩| bolt nut nut bolt tool 
⚙| cog cogwheel gear tool 
🗜| clamp compress tool vice 
⚖| balance scale 
🦯| accessibility blind white cane 
🔗| link 
⛓| chain chains 
🪝| catch crook curve ensnare hook selling point 
🧰| chest mechanic tool toolbox 
🧲| attraction horseshoe magnet magnetic 
🪜| climb ladder rung step 
⚗| alembic chemistry tool 
🧪| chemist chemistry experiment lab science test tube 
🧫| bacteria biologist biology culture lab petri dish 
🧬| biologist dna evolution gene genetics life 
🔬| microscope science tool 
🔭| science telescope tool 
📡| satellite antenna 
💉| medicine needle shot sick syringe 
🩸| bleed blood donation drop blood injury medicine menstruation 
💊| doctor medicine pill sick 
🩹| adhesive bandage bandage 
🩺| doctor heart medicine stethoscope 
🚪| door 
🛗| accessibility elevator hoist lift 
🪞| mirror reflection reflector speculum 
🪟| frame fresh air opening transparent view window 
🛏| bed hotel sleep 
🛋| couch couch lamp hotel lamp 
🪑| chair seat sit 
🚽| toilet 
🪠| force cup plumber plunger suction toilet 
🚿| shower water 
🛁| bath bathtub 
🪤| bait mouse trap mousetrap snare trap 
🪒| razor sharp shave 
🧴| lotion lotion bottle moisturizer shampoo sunscreen 
🧷| diaper punk rock safety pin 
🧹| broom cleaning sweeping witch 
🧺| basket farming laundry picnic 
🧻| paper towels roll paper toilet paper 
🪣| bucket cask pail vat 
🧼| bar bathing cleaning lather soap standish 
🪥| bathroom brush clean dental hygiene teeth toothbrush 
🧽| absorbing cleaning porous sponge 
🧯| extinguish fire fire extinguisher quench 
🛒| shopping cart 
🚬| cigarette smoking 
⚰| coffin death 
🪦| cemetery grave graveyard headstone tombstone 
⚱| funeral urn 
🗿| face moan moya statue 
🪧| demonstration picket placard protest sign 
🏧| atm atm sign automated bank teller 
🚮| litter litter bin litter bin sign 
🚰| potable water 
♿| access wheelchair symbol 
🚹| lavatory man men room guestroom wc 
🚺| lavatory guestroom wc woman women room 
🚻| lavatory guestroom wc 
🚼| baby baby symbol changing 
🚾| water closet 
🛂| passport control 
🛃| customs 
🛄| baggage claim 
🛅| baggage left luggage locker luggage 
⚠| warning 
🚸| child children crossing crossing pedestrian traffic 
⛔| no entry 
🚫| entry forbidden no not prohibited 
🚳| bicycle bike forbidden no no bicycles prohibited 
🚭| no smoking 
🚯| forbidden litter no no littering not prohibited 
🚱| non potable water 
🚷| forbidden no no pedestrians not pedestrian prohibited 
📵| cell forbidden mobile no no mobile phones phone 
🔞| age restriction eighteen no one eighteen prohibited underage 
☢| radioactive sign 
☣| biohazard sign 
⬆| arrow cardinal direction north arrow 
↗| arrow direction intercardinal northeast right arrow 
➡| arrow cardinal direction east right arrow 
↘| arrow direction right arrow intercardinal southeast 
⬇| arrow 
↙| arrow direction left arrow intercardinal southwest 
⬅| arrow cardinal direction left arrow west 
↖| arrow direction intercardinal northwest left arrow 
↕| arrow arrow 
↔| arrow left right arrow 
↩| arrow right arrow curving left 
↪| arrow left arrow curving right 
⤴| arrow right arrow curving 
⤵| arrow right arrow curving 
🔃| arrow clockwise clockwise vertical arrows reload 
🔄| anticlockwise arrow counterclockwise counterclockwise arrows button withershins 
🔙| arrow back back arrow 
🔚| arrow end end arrow 
🔛| arrow mark n arrow 
🔜| arrow soon soon arrow 
🔝| arrow top top arrow 
🛐| place worship religion worship 
⚛| atheist atom atom symbol 
🕉| hindu om religion 
✡| david jew jewish religion star star david 
☸| buddhist dharma religion wheel wheel dharma 
☯| yin yang 
✝| christian cross latin cross religion 
☦| christian cross orthodox cross religion 
☪| islam muslim religion star crescent 
☮| peace peace symbol 
🕎| candelabrum candlestick deborah religion 
🔯| dotted six pointed star fortune star 
♈| aries ram zodiac 
♉| bull ox taurus zodiac 
♊| gemini twins zodiac 
♋| cancer crab zodiac 
♌| leo lion zodiac 
♍| virgo zodiac 
♎| balance justice libra scales zodiac 
♏| scorpio scorpion scorpius zodiac 
♐| archer sagittarius zodiac 
♑| capricorn goat zodiac 
♒| aquarius bearer water zodiac 
♓| fish pisces zodiac 
⛎| bearer ophiuchus serpent snake zodiac 
🔀| arrow crossed shuffle tracks button 
🔁| arrow clockwise repeat repeat button 
🔂| arrow clockwise repeat single button 
▶| arrow play play button right triangle 
⏩| arrow double fast fast forward button forward 
⏭| arrow next scene next track next track button triangle 
⏯| arrow pause play play pause button right triangle 
◀| arrow left reverse reverse button triangle 
⏪| arrow double fast reverse button rewind 
⏮| arrow last track button previous scene previous track triangle 
🔼| arrow button red upwards button 
⏫| arrow double fast button 
🔽| arrow button downwards button red 
⏬| arrow double fast button 
⏸| bar double pause pause button vertical 
⏹| square stop stop button 
⏺| circle record record button 
⏏| eject eject button 
🎦| camera cinema film movie 
🔅| brightness dim dim button low 
🔆| bright bright button brightness 
📶| antenna antenna bars bar cell mobile phone 
📳| vibration mode 
📴| mobile phone 
♀| female sign woman 
♂| male sign man 
⚧| transcended transcended symbol 
✖| cancel multiplication multiply sign x 
➕| math plus sign 
➖| math minus sign 
➗| divide division math sign 
♾| forever infinity unbounded universal 
‼| banging double exclamation mark exclamation mark 
⁉| exclamation question mark 
❓| mark punctuation question red question mark 
❔| mark outlined punctuation question white question mark 
❕| exclamation mark outlined punctuation white exclamation mark 
❗| exclamation mark punctuation red exclamation mark 
〰| wavy dash 
💱| currency exchange 
💲| currency dollar heavy dollar sign money 
⚕| aesculapius medical symbol medicine staff 
♻| recycle recycling symbol 
⚜| fleur de lis 
🔱| trident emblem 
📛| name badge 
🔰| beginner chevron japanese japanese symbol beginner leaf 
⭕| circle hollow red circle large red 
✅| check mark button 
☑| box check check box check 
✔| check mark 
❌| cross mark 
❎| cross mark button mark square x 
➰| curl curly loop loop 
➿| curl double double curly loop loop 
〽| mark part part alternation mark 
✳| asterisk eight spoke asterisk 
✴| eight pointed star star 
❇| sparkle 
©| c copyright 
®| r registered 
™| mark tm trade mark trademark 
#️⃣| recap 
*️⃣| recap 
0️⃣| recap 
1️⃣| recap 
2️⃣| recap 
3️⃣| recap 
4️⃣| recap 
5️⃣| recap 
6️⃣| recap 
7️⃣| recap 
8️⃣| recap 
9️⃣| recap 
🔟| recap 
🔠| input latin uppercase 
🔡| input latin lower-case 
🔢| input numbers 
🔣| input input symbols 
🔤| input latin letters 
🅰| button blood type blood type 
🆎| ab ab button blood type blood type 
🅱| b b button blood type blood type 
🆑| cl cl button 
🆒| cool cool button 
🆓| free free button 
ℹ| information 
🆔| id id button identity 
Ⓜ| circle circled 
🆕| new new button 
🆖| ng ng button 
🅾| blood type button blood type 
🆗| ok ok button 
🅿| p button parking 
🆘| help sos sos button 
🆙| mark u p button 
🆚| versus vs vs button 
🈁| japanese japanese button katarina 
🈂| service charge japanese japanese service charge button katarina 
🈷| monthly amount ideograph japanese japanese monthly amount button 
🈶| not free charge ideograph japanese japanese not free charge button 
🈯| reserved ideograph japanese japanese reserved button 
🉐| bargain ideograph japanese japanese bargain button 
🈹| discount ideograph japanese japanese discount button 
🈚| free charge ideograph japanese japanese free charge button 
🈲| prohibited ideograph japanese japanese prohibited button 
🉑| acceptable ideograph japanese japanese acceptable button 
🈸| application ideograph japanese japanese application button 
🈴| passing grade ideograph japanese japanese passing grade button 
🈳| vacancy ideograph japanese japanese vacancy button 
㊗| congratulations ideograph japanese japanese congratulations button 
㊙| secret ideograph japanese japanese secret button 
🈺| open business ideograph japanese japanese open business button 
🈵| no vacancy ideograph japanese japanese no vacancy button 
🔴| red circle 
🟠| orange circle 
🟡| yellow circle 
🟢| green circle 
🔵| blue circle 
🟣| purple circle 
🟤| brown circle 
⚫| black circle circle geometric 
⚪| circle geometric white circle 
🟥| red square 
🟧| orange square 
🟨| yellow square 
🟩| green square 
🟦| blue square 
🟪| purple square 
🟫| brown square 
⬛| black large square geometric square 
⬜| geometric square white large square 
◼| black medium square geometric square 
◻| geometric square white medium square 
◾| black medium small square geometric square 
◽| geometric square white medium small square 
▪| black small square geometric square 
▫| geometric square white small square 
🔶| diamond geometric large orange diamond orange 
🔷| blue diamond geometric large blue diamond 
🔸| diamond geometric orange small orange diamond 
🔹| blue diamond geometric small blue diamond 
🔺| geometric red red triangle pointed 
🔻| geometric red red triangle pointed 
💠| comic diamond diamond dot geometric inside 
🔘| radio button 
🔳| button geometric outlined square white square button 
🔲| black square button button geometric square 
🏁| checked chequered chequered flag racing 
🚩| post triangular flag 
🎌| celebration cross crossed crossed flags japanese 
🏴| black flag waving 
🏳| waving white flag 
🏳️‍🌈| pride rainbow rainbow flag 
🏳️‍⚧️| transcended flag 
🏴‍☠️| jolly roger pirate pirate flag plunder treasure 
🇦🇨| flag ascension island 
🇦🇩| flag andorra 
🇦🇪| flag united arab emirates 
🇦🇫| flag afghanistan 
🇦🇬| flag antigua barbuda 
🇦🇮| flag anguilla 
🇦🇱| flag albania 
🇦🇲| flag armenia 
🇦🇴| flag angola 
🇦🇶| flag antarctica 
🇦🇷| flag argentina 
🇦🇸| flag american samoa 
🇦🇹| flag austria 
🇦🇺| flag australia 
🇦🇼| flag aruba 
🇦🇽| flag land islands 
🇦🇿| flag azerbaijan 
🇧🇦| flag bosnia herzegovina 
🇧🇧| flag barbados 
🇧🇩| flag bangladesh 
🇧🇪| flag belgium 
🇧🇫| flag burkina faso 
🇧🇬| flag bulgaria 
🇧🇭| flag bahrain 
🇧🇮| flag burundi 
🇧🇯| flag benin 
🇧🇱| flag barth levy 
🇧🇲| flag bermuda 
🇧🇳| flag brunei 
🇧🇴| flag bolivia 
🇧🇶| flag caribbean netherlands 
🇧🇷| flag brazil 
🇧🇸| flag bahamas 
🇧🇹| flag bhutan 
🇧🇻| flag bovet island 
🇧🇼| flag botswana 
🇧🇾| flag belarus 
🇧🇿| flag belize 
🇨🇦| flag canada 
🇨🇨| flag cocos keeling islands 
🇨🇩| flag congo kinshasa 
🇨🇫| flag central african republic 
🇨🇬| flag congo brazzaville 
🇨🇭| flag switzerland 
🇨🇮| flag c te voice 
🇨🇰| flag cook islands 
🇨🇱| flag chile 
🇨🇲| flag cameroon 
🇨🇳| flag china 
🇨🇴| flag colombia 
🇨🇵| flag clapperton island 
🇨🇷| flag costa rica 
🇨🇺| flag cuba 
🇨🇻| flag cape verde 
🇨🇼| flag cure ao 
🇨🇽| flag christmas island 
🇨🇾| flag cyprus 
🇨🇿| flag czech 
🇩🇪| flag germany 
🇩🇬| flag diego garcia 
🇩🇯| flag djibouti 
🇩🇰| flag denmark 
🇩🇲| flag dominica 
🇩🇴| flag dominican republic 
🇩🇿| flag algeria 
🇪🇦| flag ceuta melilla 
🇪🇨| flag ecuador 
🇪🇪| flag estonia 
🇪🇬| flag egypt 
🇪🇭| flag western sahara 
🇪🇷| flag eritrea 
🇪🇸| flag spain 
🇪🇹| flag ethiopia 
🇪🇺| flag european union 
🇫🇮| flag finland 
🇫🇯| flag fiji 
🇫🇰| flag falkland islands 
🇫🇲| flag micronesia 
🇫🇴| flag faroe islands 
🇫🇷| flag france 
🇬🇦| flag gabon 
🇬🇧| flag united kingdom 
🇬🇩| flag grenada 
🇬🇪| flag georgia 
🇬🇫| flag french guiana 
🇬🇬| flag guernsey 
🇬🇭| flag ghana 
🇬🇮| flag gibraltar 
🇬🇱| flag greenland 
🇬🇲| flag gambia 
🇬🇳| flag guinea 
🇬🇵| flag guadeloupe 
🇬🇶| flag equatorial guinea 
🇬🇷| flag greece 
🇬🇸| flag south georgia south sandwich islands 
🇬🇹| flag guatemala 
🇬🇺| flag guam 
🇬🇼| flag guinea bissau 
🇬🇾| flag guyana 
🇭🇰| flag hong kong sar china 
🇭🇲| flag heard mcdonald islands 
🇭🇳| flag honduras 
🇭🇷| flag croatia 
🇭🇹| flag haiti 
🇭🇺| flag hungary 
🇮🇨| flag canary islands 
🇮🇩| flag indonesia 
🇮🇪| flag ireland 
🇮🇱| flag israel 
🇮🇲| flag isle man 
🇮🇳| flag india 
🇮🇴| flag british indian ocean territory 
🇮🇶| flag iraq 
🇮🇷| flag iran 
🇮🇸| flag iceland 
🇮🇹| flag italy 
🇯🇪| flag jersey 
🇯🇲| flag jamaica 
🇯🇴| flag jordan 
🇯🇵| flag japan 
🇰🇪| flag kenya 
🇰🇬| flag kyrgyzstan 
🇰🇭| flag cambodia 
🇰🇮| flag kiribati 
🇰🇲| flag comoros 
🇰🇳| flag kitts nevis 
🇰🇵| flag north korea 
🇰🇷| flag south korea 
🇰🇼| flag kuwait 
🇰🇾| flag cayman islands 
🇰🇿| flag kazakhstan 
🇱🇦| flag laos 
🇱🇧| flag lebanon 
🇱🇨| flag lucia 
🇱🇮| flag liechtenstein 
🇱🇰| flag sri lanka 
🇱🇷| flag liberia 
🇱🇸| flag lesotho 
🇱🇹| flag lithuania 
🇱🇺| flag luxembourg 
🇱🇻| flag latvia 
🇱🇾| flag libya 
🇲🇦| flag morocco 
🇲🇨| flag monaco 
🇲🇩| flag moldova 
🇲🇪| flag montenegro 
🇲🇫| flag martin 
🇲🇬| flag madagascar 
🇲🇭| flag marshall islands 
🇲🇰| flag north macedonia 
🇲🇱| flag mali 
🇲🇲| flag myanmar burma 
🇲🇳| flag mongolia 
🇲🇴| flag macao sar china 
🇲🇵| flag northern mariana islands 
🇲🇶| flag martinique 
🇲🇷| flag mauritania 
🇲🇸| flag montserrat 
🇲🇹| flag malta 
🇲🇺| flag mauritius 
🇲🇻| flag maldives 
🇲🇼| flag malawi 
🇲🇽| flag mexico 
🇲🇾| flag malaysia 
🇲🇿| flag mozambique 
🇳🇦| flag namibia 
🇳🇨| flag new caledonia 
🇳🇪| flag niger 
🇳🇫| flag norfolk island 
🇳🇬| flag nigeria 
🇳🇮| flag nicaragua 
🇳🇱| flag netherlands 
🇳🇴| flag norway 
🇳🇵| flag nepal 
🇳🇷| flag nauru 
🇳🇺| flag niue 
🇳🇿| flag new zealand 
🇴🇲| flag oman 
🇵🇦| flag panama 
🇵🇪| flag peru 
🇵🇫| flag french polynesia 
🇵🇬| flag papua new guinea 
🇵🇭| flag philippines 
🇵🇰| flag pakistan 
🇵🇱| flag poland 
🇵🇲| flag pierre miquel 
🇵🇳| flag pitcairn islands 
🇵🇷| flag puerto rico 
🇵🇸| flag palestinian territories 
🇵🇹| flag portugal 
🇵🇼| flag palau 
🇵🇾| flag paraguay 
🇶🇦| flag qatar 
🇷🇪| flag r union 
🇷🇴| flag romania 
🇷🇸| flag serbia 
🇷🇺| flag russia 
🇷🇼| flag rwanda 
🇸🇦| flag saudi arabia 
🇸🇧| flag solomon islands 
🇸🇨| flag seychelles 
🇸🇩| flag sudan 
🇸🇪| flag sweden 
🇸🇬| flag singapore 
🇸🇭| flag helena 
🇸🇮| flag slovenia 
🇸🇯| flag svalbard jan mayen 
🇸🇰| flag slovakia 
🇸🇱| flag sierra leone 
🇸🇲| flag san marino 
🇸🇳| flag senegal 
🇸🇴| flag somalia 
🇸🇷| flag suriname 
🇸🇸| flag south sudan 
🇸🇹| flag tom pr nine 
🇸🇻| flag el salvador 
🇸🇽| flag sent maarten 
🇸🇾| flag syria 
🇸🇿| flag eswatini 
🇹🇦| flag tristan da cunha 
🇹🇨| flag turks caicos islands 
🇹🇩| flag chad 
🇹🇫| flag french southern territories 
🇹🇬| flag togo 
🇹🇭| flag thailand 
🇹🇯| flag tajikistan 
🇹🇰| flag tokelau 
🇹🇱| flag timor lest 
🇹🇲| flag turkmenistan 
🇹🇳| flag tunisia 
🇹🇴| flag tonga 
🇹🇷| flag turkey 
🇹🇹| flag trinidad tobago 
🇹🇻| flag tuvalu 
🇹🇼| flag taiwan 
🇹🇿| flag tanzania 
🇺🇦| flag ukraine 
🇺🇬| flag uganda 
🇺🇲| flag u outlying islands 
🇺🇳| flag united nations 
🇺🇸| flag united states 
🇺🇾| flag uruguay 
🇺🇿| flag uzbekistan 
🇻🇦| flag vatican city 
🇻🇨| flag vincent grenadines 
🇻🇪| flag venezuela 
🇻🇬| flag british virgin islands 
🇻🇮| flag u virgin islands 
🇻🇳| flag vietnam 
🇻🇺| flag vanuatu 
🇼🇫| flag wallis futura 
🇼🇸| flag samoa 
🇽🇰| flag kosovo 
🇾🇪| flag yemen 
🇾🇹| flag mayotte 
🇿🇦| flag south africa 
🇿🇲| flag zambia 
🇿🇼| flag zimbabwe 
🏴󠁧󠁢󠁥󠁮󠁧󠁿| flag england 
🏴󠁧󠁢󠁳󠁣󠁴󠁿| flag scotland 
🏴󠁧󠁢󠁷󠁬󠁳󠁿| flag wales 
